id;commentaires;premiere_diffusion_episode;numero_episode;resume_episode;note;duree;numero_saison;titre_episode;votes;titre_serie;annee_premiere_diffusion_serie;resume_serie;premiere_diffusion_serie;pays;status_serie;genres_serie
2131449;1;2016-02-13 02:00:00;12;When a powerful weapon that could take down the Mikaelsons for good ends up in the wrong hands, Klaus finds himself in a tense standoff with an unlikely foe. Meanwhile, Elijah's attempt to reclaim control of The Strix leads to a violent showdown and the emergence of a potential new leader. Elsewhere, when a new coven of witches tries to influence Davina into helping them locate the elusive weapon, she quickly realizes she may be in over her head.;7.74726;42;3;Dead Angels;1187;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2138500;2;2016-02-20 02:00:00;13;Determined to make her ultimate move against the Mikaelson brothers, Aurora uses Freya as bait to lure Klaus and Elijah into a dangerous trap. Meanwhile, after being recruited by The Strix's powerful coven of witches to perform a spell that could save the lives of her closest friends, Davina finds a way to conjure up Kol, the only person who may know the key ingredient to completing the spell. Finally, Hayley is forced to make a heartbreaking sacrifice.;7.8467;41;3;Heart Shaped Box;1259;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2142861;6;2016-02-27 02:00:00;14;With the threat of the prophecy looming over their heads, Klaus and Elijah find themselves rendered useless inside a magical trap, while Aya and The Strix's coven of witches move forward with a risky spell that could take one of them down for good. Elsewhere, Freya leads the charge to get her brothers back and enlists the help of Marcel, Hayley and Stefan Salvatore, an old friend of Klaus', whose unexpected arrival may be the key to their survival. Finally, Davina moves forward with a dangerous plan that brings her one step closer to reuniting with Kol.;8.00585;42;3;A Streetcar Named Desire;1197;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2148468;3;2016-03-05 02:00:00;15;When Klaus learns that Cortez, an old vampire with a vendetta against him, has arrived in New Orleans, he finds himself forced to deal with this new threat. Meanwhile, when Cortez begins threatening the lives of innocent residents, Vincent has no choice but to help the vengeful vampire in his plan to take down Klaus. Elsewhere, Marcel turns to Davina for her help after several Strix members turn up missing, and Elijah confronts Hayley after learning that she’s been dealing with Jackson’s death in a destructive way.;7.88186;42;3;An Old Friend Calls;1202;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2164171;1;2016-04-02 01:00:00;16;When rumors begin to spread about the remaining white oak bullet, dangerous foes descend upon New Orleans in an attempt to take down Klaus once and for all. As the threats continue to grow, Elijah urges his siblings to lay low at the compound while Marcel, Vincent and Josh chase down a lead involving a mysterious vampire named Sofya, who may have the answers they’re looking for. Meanwhile, tensions inside the compound build as Kol is forced to come face to face with his brother Finn, the person responsible for his death. Elsewhere, Klaus and Hayley seek shelter with her former pack and stumble upon some unsettling news involving the threat against them.;7.77754;42;3;Alone with Everybody;1398;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2164172;7;2016-04-09 01:00:00;17;When its discovered that Freya has been kidnapped and is in the hands of a dangerous new threat, the Mikaelson brothers are forced to put aside their differences in order to save her before it’s too late. Following a lead that brings them to Mystic Falls, Elijah and Finn run into deputy Matt Donovan, who does not take well to new vampires in his town. Meanwhile, Klaus and Hayley work together to uncover the motive behind one of Lucien’s secret agendas, while a troubling shift in Kol’s behavior leaves Davina concerned for their future together. ;8.07462;41;3;Behind the Black Horizon;1434;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2164174;3;2016-04-16 01:00:00;18;As the city celebrates its annual Jazz Fest, an unlikely team of Mikaelson foes joins forces to take Klaus hostage. Leading the charge to get their brother back, Elijah and Freya face off against a powerful force like none they’ve ever seen before, while Hayley and Cami set their own risky plan in motion to rescue Klaus. Meanwhile, when Kol’s erratic behavior worsens, Davina has no choice but to turn to Marcel and Vincent for help.;7.99587;41;3;The Devil Comes Here and Sighs;1453;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2164175;8;2016-04-30 01:00:00;19;Following a violent encounter that has left Cami’s life hanging in the balance, Klaus is forced to rely on his family and allies to find a cure as he keeps a watchful eye over Cami at the compound. With time running out, Freya turns to her arsenal of spells, while Vincent and Marcel head to Cami’s apartment to gather a crucial ingredient. Elsewhere, Hayley and Elijah travel to the bayou in hopes of bringing back a potential antidote that could save Cami’s life. Finally, Davina confronts Lucien and learns some heartbreaking information that will change her future with Kol forever.;8.15702;42;3;No More Heartbreaks;1503;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2164177;6;2016-05-07 01:00:00;20;In the wake of a ruthless plan that has left their family shattered, Klaus, Elijah and Freya desperately search for a way to take down Lucien once and for all. However, their efforts are put on hold following an urgent plea for help from Kol and Marcel. At Klaus’ insistence, Freya and Elijah reluctantly stay behind to offer their help, while Klaus and Hayley head to the bayou after uncovering Lucien’s latest plan. Once there, an unexpected showdown between Klaus and Lucien forces Freya to take matters into her own hands, setting off a chain of events that will change all of their lives forever.;8.10487;41;3;Where Nothing Stays Buried;1478;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2164180;7;2016-05-14 01:00:00;21;After receiving new visions of the looming prophecy, Freya uncovers that her family is on a collision course with a dangerous new enemy. Meanwhile, with the help of Detective Kinney, Vincent and Kol travel to the ancestral world to put a stop to the witches and take back their city once and for all. Elsewhere, Klaus and Elijah confront Marcel after a heartbreaking plan gone wrong has sent him spiraling. ;8.14753;42;3;Give 'Em Hell Kid;1498;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2178448;9;2016-05-21 01:00:00;22;After months of thwarting off dangerous threats and deadly attacks, the Mikaelson siblings finally come face to face with the one person that could lead to their ultimate demise. With the stakes higher than ever and the compound overrun by an army of his oldest sworn enemies, Klaus is put on trial for centuries of atrocities he’s committed. Meanwhile, Marcel, who has been spiraling out of control following an act of betrayal by those closest to him, is stunned by the unexpected arrival of someone from his past. Finally, Elijah, Freya and Kol frantically search for a way to save their family before it’s too late.;8.35527;42;3;The Bloody Crown;1717;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2293536;11;2017-03-18 01:00:00;1;On the fifth anniversary of Klaus’ defeat, Marcel is king of the city and welcomes the un-sired vampires to New Orleans, only to find they pose an unexpected threat to his rule, leading him to seek counsel from an unlikely source. Meanwhile, as Hayley closes in on the cure that will allow her to revive Elijah and the slumbering Mikaelsons, she faces a final task that will force her to make a ruthless decision.;8.12639;42;4;Gather Up The Killers;2255;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2471663;5;2017-03-25 01:00:00;2;After being cured and woken, the Mikaelson siblings join Hayley in an effort to rescue Klaus from captivity – even if they must face Marcel in the process. Meanwhile, Klaus’ demons materialize in unexpected ways as he suffers from the effects of the Tunde Blade, and Vincent investigates a haunting that will prove to be much more sinister than he could have imagined.;8.05863;42;4;No Quarter;2098;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2471664;2;2017-04-01 01:00:00;3;After five long years apart, Klaus attempts to reconnect with his daughter, Hope. Even as father and daughter bond, the rest of the family is still in turmoil. Elijah mediates a conflict between Hayley and Freya to determine the best way to protect the family. Meanwhile, in New Orleans, Vincent tells Marcel terrible secrets about his ex -wife, Eva Sinclair, even as they begin their search for a mysterious witch who plans to sacrifice a group of innocent children – including Hope Mikaelson.;7.99023;42;4;Haunter of Ruins;2048;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2471665;1;2017-04-08 01:00:00;4;Desperate to save her daughter, Hayley turns to Marcel for help uncovering information about the mysterious force that has set its sights on the children of New Orleans. While Klaus remains behind with Hope, Elijah and a reluctant Vincent join the hunt, which puts them on a dangerous collision course with an unlikely new threat. Finally, Freya and Keelin must put aside their differences as they embark on a journey that may alter the power dynamic in New Orleans forever.;8.04727;42;4;Keepers of the House;2073;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2471666;2;2017-04-15 01:00:00;5;After being marked by The Hollow’s dark magic, both Klaus and Marcel experience the symptoms of a malevolent haunting, forcing the two adversaries on a violent collision course. Meanwhile, Hayley and Elijah head out to speak with Mary after Hayley uncovers a mysterious link between the dark magic and her former wolf pack. Finally, as an exhausted Freya risks her own life to cure Klaus’ infection, a guilt-ridden Keelin must decide whether to honor her hypocratic oath and help Freya – or flee the Mikaelson’s forever.;7.94856;42;4;I Hear You Knocking;1983;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2471667;2;2017-04-29 01:00:00;6;When it’s discovered that The Hollow has employed a mysterious servant to do its bidding, Klaus and Elijah host an elaborate party in order to lure the new threat out and uncover its identity. Feeling a sense of responsibility for The Hollow’s resurgence, Vincent uses his magic to help the Mikaelsons root out this latest threat. Meanwhile, after uncovering information about who may have been behind her parents’ death, Hayley turns to Freya to help unlock her memories from that fateful day.;7.91711;42;4;Bag of Cobras;1882;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2473310;2;2017-05-06 01:00:00;7;When it’s discovered that The Hollow’s latest servant is on the loose, Freya places a protection spell on the compound, forcing Klaus, Hayley and Hope to remain inside. Meanwhile, Elijah takes matters into his own hands when Vincent is reluctant to perform a dangerous ritual needed to strengthen their defense against The Hollow. Finally, while Freya enacts a risky plan that brings her face to face with their latest threat, an unexpected twist leaves her life hanging in the balance.;8.03646;42;4;High Water and a Devil's Daughter;1810;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2473311;3;2017-05-13 01:00:00;8;After being summoned by the ancestors, Hayley and Klaus travel to the ancestral world and come face to face with Davina, Klaus' former foe and the one person who holds the secrets to The Hollow's demise. Meanwhile, old wounds are re-opened when Elijah and Marcel are forced into an uneasy alliance. Together, they meet with Alaric who has tracked down a crucial artifact that could help in their fight against The Hollow.;7.9973;41;4;Voodoo in My Blood;1855;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2473312;2;2017-05-20 01:00:00;9;When The Hollow sends a terrifying message to Vincent, he must team with Haley and Freya to embark on a desperate mission to stop the Hollow once and for all - even if it requires a heartbreaking sacrifice. Refusing to allow anyone in his family to pay the high price of defeating their enemy, Klaus makes a surprising alliance and enacts a plan that threatens to change the Mikaelson family forever.;7.97912;42;4;Queen Death;1772;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2418080;1;2017-06-03 01:00:00;10;Klaus requests that his estranged siblings Rebekah and Kol return home to stand by their family against The Hollow. Meanwhile, Freya recruits Hayley for a dangerous journey that will put both their lives at risk — but may be the sole means of saving someone they love. Elsewhere, tensions rise when Marcel leads a hunt for The Hollow — putting him on a collision course with the person he was least prepared to face. Finally, as Kol continues to mourn the loss of Davina, he is forced to consider the lengths he’d go to see her again.;7.89423;41;4;Phantomesque;1645;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2474285;2;2017-06-10 01:00:00;11;When its discovered that The Hollow is using a magical totem to fuel her power, Freya enlists Rebekah and Klaus’ help to locate and destroy it. Elsewhere, an ultimatum by The Hollow puts Kol at odds with his own siblings, while an unexpected run-in forces Marcel and Rebekah to confront the growing tension between them. Finally, The Hollow’s plan for Hayley leaves her in the fight of her life.;7.92025;42;4;A Spirit Here That Won't Be Broken;1605;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2416036;3;2017-06-17 01:00:00;12;When The Hollow targets the most vulnerable Mikaelson, Klaus is forced to rely on Vincent, who believes he can use The Hollow’s own dark magic to defeat their enemy for good. Meanwhile, as Marcel worries that Vincent’s plan might backfire, the King of New Orleans decides on a deadly backup plan of his own. Elsewhere, after falling victim to The Hollow’s manipulations, Hayley struggles to figure out Hope’s future in New Orleans, while Freya must confront her darkest fear.;8.01971;41;4;Voodoo Child;1573;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2506513;13;2017-06-24 01:00:00;13;The Mikaelsons find themselves out of options as they face the all-powerful and un-killable entity known as The Hollow. With the life of Hope at stake, Vincent proposes a final, desperate plan – one that will force Klaus, Elijah, Hayley, Rebekah and Freya to make the greatest sacrifice their family has ever endured. Season Finale.;8.39262;42;4;The Feast of All Sinners;1625;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2684361;5;2018-04-19 01:00:00;1;Desperate to see her father Klaus after seven years, Hope resorts to drastic measures to bring her father back to New Orleans. Hayley attempts to minimize the fallout from Hope’s actions, but not before news of what she’s done ripples through the city. Meanwhile, Freya’s guilt over not being able to reunite her family gets in the way of her happiness with Keelin, while Rebekah struggles with her inability to fully commit to Marcel. Finally, struggling without Elijah by his side, Klaus’ murderous rampage throughout Europe leads to an unexpected encounter with Caroline Forbes.;8.0619;42;5;Where You Left Your Heart;937;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2684362;1;2018-04-26 01:00:00;2;When a mysterious disappearance brings Klaus back to New Orleans, Hope looks forward to the prospect of seeing her father again. However, when the dark magic that had been keeping them apart begins to manifest in dangerous ways across the city, Vincent turns to Ivy for guidance about what it may mean. Elsewhere, Marcel returns to New Orleans amidst increased tensions between the supernatural factions, while Freya makes a decision about her future with Keelin. Finally, Roman’s surprise visit to the Mikaelson compound forces Hope to reveal some dark truths about her family. ;7.95735;42;5;One Wrong Turn On Bourbon;844;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2684363;7;2018-05-03 01:00:00;3;In the immediate aftermath of having his memory erased by Marcel, Elijah awakens to find himself in the middle of nowhere and without a clue as to who he is. Unable to control his instinctive vampire ways, Elijah encounters Antoinette, a beautiful and free-spirited vampire, who helps him navigate his new life. However, a run-in with Klaus threatens to destroy the peace he’s finally found.;7.92225;42;5;Ne Me Quitte Pas;836;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2691597;1;2018-05-10 01:00:00;4;Frustrated by the lack of progress made in the search for Hayley, Klaus turns up the heat by taking hostages from each of the three New Orleans supernatural factions. Freya goes to Mystic Falls to check on Hope, who has been sent back to the Salvatore School. Vincent seeks guidance from Ivy after learning that Klaus’ erratic behavior is escalating.;7.93264;42;5;Between the Devil and the Deep Blue Sea;772;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
2691598;2;2018-05-17 01:00:00;5;A mysterious clue sent to Klaus leads him one step closer to finding Hayley. Antoinette opens up to Elijah after her past comes back to haunt her. Meanwhile, Marcel makes a decision that puts him at odds with Klaus. Finally, Hope takes matters into her own hands to fix the mess that she’s created. ;7.95473;42;5;Don't It Just Break Your Heart;751;The Originals;2013;A spin-off from The Vampire Diaries, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah and Rebekah. Following a tip-off informing him there's a plot brewing against him, Klaus goes back to New Orleans only to find his former protÃ©gÃ©, Marcel, ruling the city. Having originally built it but been forced to flee from their vengeful father, Klaus resolves that they must take down Marcel and get back the city that once belonged to them. While doing that, they must also protect their city from a war brewing between vampires, werewolves and witches.;2013-10-04 01:00:00;us;ended;['drama', 'mystery', 'fantasy', 'science-fiction']
